Your Checkout Progress,Оформление заказа
You have no items in your shopping cart.,У вас нет товаров в корзине.
View and edit cart,Просмотр и редактирование корзину
See Details,Смотрите подробности
Options Details,Детали
Update,Обновить
Edit,редактировать
Cart Subtotal,Корзина Итого
Welcome to %store_name,Добро пожаловать в %store_name
"%name,","%name,"
Welcome to %store_name.,Добро пожаловать в %store_name.
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:","Для того, чтобы войти в наш сайт, использовать эти учетные данные во время проверки или на странице <a href=""%customer_url""> Моя учётная запись </a>:"
Email:,Эл. адрес:
Password:,Пароль:
Password you set when creating account,Пароль установить при создании учетной записи
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","Забыл пароль учетной записи? Нажмите <a href=""%reset_url""> здесь </a>, чтобы сбросить его."
"When you sign in to your account, you will be able to:","При входе в свой аккаунт, вы сможете:"
Quick Checkout,Быстрый заказ
Proceed through checkout faster,Действуйте через проверку быстрее
Order Status,Статус заказа
Check the status of orders,Проверить статус заказов
Manage Addresses,Управление Адреса
Store alternative addresses,Храните альтернативные адреса
For shipping to multiple family members and friends,Для доставки к нескольким членам семьи и друзьям
Order History,История заказов
View past orders,Просмотреть последние заказы
Footer,нижний колонтитул
About Us,Насчет нас
Customer Service,Обслуживание клиентов
Credit memo for your %store_name order,Кредитовое авизо для %store_name
Thank you for your order from %store_name.,Благодарим Вас за Ваш заказ от%store_name.
"You can check the status of your order by <a href=""%account_url"">logging into your account</a>.","Вы можете проверить статус заказа по <a протоколирования href=""%account_url""> в свой аккаунт </a>."
"If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>.","Если у вас есть вопросы по поводу вашего заказа, вы можете связаться с нами по адресу <a href=""mailto:%store_email"">%store_email </a>."
Your Credit Memo #%creditmemo_id for Order #%order_id,Ваша кредитная Memo #%creditmemo_id для заказа #%order_id
Billing Info,Данные оплаты
Payment Method,Способ оплаты
Update to your %store_name credit memo,Обновление до вашего%store_name кредитового авизо
Your order #%increment_id has been updated with a status of <strong>%order_status</strong>.,Ваш заказ #%increment_id был обновлен со статусом <strong>%order_status </strong>.
Invoice for your %store_name order,Счет-фактура для заказа %store_name
Your Invoice #%invoice_id for Order #%order_id,Ваш Счет #%invoice_id для заказа #%order_id
Update to your %store_name invoice,Обновление до вашего %store_name счетов
Your %store_name order confirmation,Ваше подтверждение заказа %store_name
"%customer_name,","%customer_name,"
Once your package ships we will send you a tracking number.,"После того, как ваш пакет кораблей мы вышлем вам номер для отслеживания."
"Your Order <span class=""no-link"">#%increment_id</span>","Ваш заказ <span class=""no-link"">#%increment_id</span>"
"Placed on <span class=""no-link"">%created_at</span>","Размещенные на <span class=""no-link"">%created_at</span>"
Update to your %store_name order,Обновление до вашего %store_name заказа
Your %store_name order has shipped,Ваш заказ %store_name отгружен
Your shipping confirmation is below. Thank you again for your business.,Ваше подтверждение доставки ниже. Еще раз спасибо за Ваш бизнес.
Your Shipment #%shipment_id for Order #%order_id,Ваша доставка #%shipment_id для Заказа #%order_id
Update to your %store_name shipment,Обновление %store_name вашей доставки
Shop,Магазин
Order Comment,Комментарий к заказу
You can create an account after checkout.,Вы можете создать учетную запись после оформления заказа.
